step_size,n_min,n_max,num_dvs,num_ivs,p_values
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
10,30,30,3,1,
